Sansa,PYRENEES ORIENTALES,OCCITANIE,24,149.8393204,170.9671875,168.3168748
Le Mans,SARTHE,PAYS DE LA LOIRE,2008.880422,159.5523312,136.8328638,167.7593108
Galinagues,AUDE,OCCITANIE,31,165.8181894,175.3530321,166.9634532
Lomné,HAUTES PYRENEES,OCCITANIE,32,166.1776669,186.0949768,166.8967926
Vannes,MORBIHAN,BRETAGNE,2550.530145,169.4687817,161.163819,166.1739122
Grenois,NIEVRE,BOURGOGNE FRANCHE COMTE,99,154.8909763,142.215498,165.8288096
La Basse-Vaivre,HAUTE SAONE,BOURGOGNE FRANCHE COMTE,39,167.0881516,163.7681939,165.0905804
Besançon,DOUBS,BOURGOGNE FRANCHE COMTE,3201.633783,156.2606592,136.7824622,164.8714066
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,2603.24245,164.0593451,146.8070258,164.7513838
Alès,GARD,OCCITANIE,2623.48991,163.7389888,154.0951804,164.7355319
Saint-Nazaire,LOIRE ATLANTIQUE,PAYS DE LA LOIRE,1448.405513,169.5001008,158.1447809,164.523751
Gradignan,GIRONDE,NOUVELLE AQUITAINE,2176.826654,151.6140092,131.7451268,164.3246718
Mont-Saint-Aignan,SEINE MARITIME,NORMANDIE,2225.980027,155.9398104,138.9865703,164.1906018
Revens,GARD,OCCITANIE,22,161.2119071,142.0036253,163.9248665
Marseille 9e Arrondissement,BOUCHES DU RHONE,PROVENCE ALPES COTE D'AZUR,198.3117124,156.4515414,155.1795688,163.8531093
Reims,MARNE,GRAND EST,9.735490264,163.3177669,171.1608218,163.8277624
Bessède-de-Sault,AUDE,OCCITANIE,52,157.4711637,152.6406377,163.2091254
Cholet,MAINE ET LOIRE,PAYS DE LA LOIRE,1570.911736,162.1173951,158.7417185,162.9617217
La Villedieu,CREUSE,NOUVELLE AQUITAINE,49,161.7927741,150.4889404,162.8817665
La Roche-sur-Yon,VENDEE,PAYS DE LA LOIRE,2874.421861,177.1365075,151.2437988,162.6317108
Sablé-sur-Sarthe,SARTHE,PAYS DE LA LOIRE,443.0068686,153.5967099,149.1387028,162.2556121
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,3804.565287,159.7401011,133.3637357,161.8703579
Perpignan,PYRENEES ORIENTALES,OCCITANIE,4136.322913,149.1470894,141.1551354,161.8133666
Soyers,HAUTE MARNE,GRAND EST,59,154.582813,166.6524563,161.6832057
Theuville,VAL D OISE,ILE DE FRANCE,38,168.6753364,257.0023726,161.6793923
Tours,INDRE ET LOIRE,CENTRE VAL DE LOIRE,2878.800489,158.5573288,138.7253134,161.6696112
La Valette-du-Var,VAR,PROVENCE ALPES COTE D'AZUR,515.8870409,171.1025844,157.9500645,161.4743512
Nancy,MEURTHE ET MOSELLE,GRAND EST,703.6695843,149.5981823,122.4390906,161.3628214
Limoges,HAUTE VIENNE,NOUVELLE AQUITAINE,2145.539247,154.8165346,137.0991268,161.1942871
Fenouillet-du-Razès,AUDE,OCCITANIE,89,157.6404445,171.0749977,161.1016671
Saint-Martin-d'Hères,ISERE,AUVERGNE RHONE ALPES,4489.927501,161.2882837,132.6110625,161.0032321
Lorient,MORBIHAN,BRETAGNE,1981.282145,162.362232,148.2017568,160.8631285
Granville,MANCHE,NORMANDIE,1954.317015,170.6213579,168.6066492,160.7766368
Rennes,ILLE ET VILAINE,BRETAGNE,327.2760691,150.8838129,140.398379,160.5763346
Metz,MOSELLE,GRAND EST,2454.704148,164.0261313,143.1641668,160.3579017
Saint-Michel-en-Beaumont,ISERE,AUVERGNE RHONE ALPES,31,166.2909056,159.99226,160.1338077
Montpellier,HERAULT,OCCITANIE,5434.394634,149.5004416,128.512669,160.0354311
Nantes,LOIRE ATLANTIQUE,PAYS DE LA LOIRE,1577.959102,159.2337151,149.0099977,159.4852936
Rennes,ILLE ET VILAINE,BRETAGNE,2207.49993,160.1380744,148.8520497,159.266975
Chalon-sur-Saône,SAONE ET LOIRE,BOURGOGNE FRANCHE COMTE,1267.702615,169.5572116,151.5806136,158.9244322
Rennes,ILLE ET VILAINE,BRETAGNE,481.8222712,154.4430542,149.2911015,158.8641519
Oyonnax,AIN,AUVERGNE RHONE ALPES,15.14056952,171.8024027,159.3163391,158.7711425
Grenoble,ISERE,AUVERGNE RHONE ALPES,1465.974609,161.4299888,144.1976507,158.7522943
Saint-Herblain,LOIRE ATLANTIQUE,PAYS DE LA LOIRE,64.64002054,150.8580284,128.8858314,158.7372133
Saint-Chamond,LOIRE,AUVERGNE RHONE ALPES,1257.028886,152.6317144,144.9752434,158.5322636
Le Pont-de-Claix,ISERE,AUVERGNE RHONE ALPES,15.66309592,165.2174029,154.6691791,158.4952841
Laval,MAYENNE,PAYS DE LA LOIRE,1477.784463,165.4084222,150.9307152,158.4111178
Évreux,EURE,NORMANDIE,100.4855454,165.7958157,133.9424612,158.2798797
Pommerol,DROME,AUVERGNE RHONE ALPES,15,157.0444056,186.8421062,158.2217417
Chasseneuil-du-Poitou,VIENNE,NOUVELLE AQUITAINE,753.9276182,144.9869865,108.3126056,158.1791308
Rennes,ILLE ET VILAINE,BRETAGNE,2121.066415,158.5705771,147.5549999,158.1355195
Agen,LOT ET GARONNE,NOUVELLE AQUITAINE,2274.040693,159.0621655,147.91022,158.0933632
Compiègne,OISE,HAUTS DE FRANCE,170.333494,166.4723474,151.1214302,157.9166388
Rennes,ILLE ET VILAINE,BRETAGNE,2253.819884,153.8648381,140.8052712,157.5604188
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,3510.217775,156.7556851,133.2472589,157.3818276
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,2892.60958,155.5621193,129.1115339,157.3739184
La Roche-sur-Yon,VENDEE,PAYS DE LA LOIRE,1894.284571,173.4598127,144.993613,157.1962153
Le Mans,SARTHE,PAYS DE LA LOIRE,1939.444197,148.9281336,126.723503,156.9735213
Caen,CALVADOS,NORMANDIE,2507.383539,154.2313955,131.8221343,156.8838904
Rouen,SEINE MARITIME,NORMANDIE,3314.639774,151.7334715,139.4202462,156.8552317
Cosne-Cours-sur-Loire,NIEVRE,BOURGOGNE FRANCHE COMTE,1110.189806,153.6452483,150.1270538,156.7958602
Lille,NORD,HAUTS DE FRANCE,7.562012387,147.9881847,132.517617,156.4671865
Brest,FINISTERE,BRETAGNE,2468.04139,153.6138458,137.1454756,156.3329242
Lorient,MORBIHAN,BRETAGNE,2152.225437,158.4035493,144.5448402,156.2970467
Courcouronnes,ESSONNE,ILE DE FRANCE,93.75788602,160.8655916,162.5745566,156.264042
Sainte-Rose,LA REUNION,LA REUNION,18.28615931,156.1818888,172.4177535,156.1818888
Sarlat-la-Canéda,DORDOGNE,NOUVELLE AQUITAINE,1336.715353,158.9042828,152.7732536,156.0460044
La Rochelle,CHARENTE MARITIME,NOUVELLE AQUITAINE,5494.211083,163.2653052,138.770733,155.9214879
Poitiers,VIENNE,NOUVELLE AQUITAINE,3395.216522,146.2425945,111.7772502,155.8111703
Creutzwald,MOSELLE,GRAND EST,14.24349478,157.0799766,155.5080075,155.7359925
Vaux-lès-Rubigny,ARDENNES,GRAND EST,50,149.5341242,187.8061094,155.7053879
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,2122.2906,154.3016031,133.3128606,155.6940588
Besançon,DOUBS,BOURGOGNE FRANCHE COMTE,1925.112001,149.7574465,132.482816,155.5812801
Vichy,ALLIER,AUVERGNE RHONE ALPES,2899.940848,148.3074704,139.1111218,155.5630328
Caen,CALVADOS,NORMANDIE,328.7200041,149.6421302,120.2251567,155.5007413
Chaudebonne,DROME,AUVERGNE RHONE ALPES,53,152.2613701,142.5824936,155.4800067
Paris 14e Arrondissement,PARIS,ILE DE FRANCE,2589.83763,153.1042139,149.3469106,155.4415657
Saint-Quentin,AISNE,HAUTS DE FRANCE,1444.607829,154.0252985,132.745317,155.4021668
Saint-Brieuc,COTES D ARMOR,BRETAGNE,2608.944029,154.399572,145.1120411,155.2888827
Firminy,LOIRE,AUVERGNE RHONE ALPES,1664.172768,151.6033948,142.1696684,155.2260552
Nanterre,HAUTS DE SEINE,ILE DE FRANCE,2158.835436,161.7469486,148.9234615,155.1975729
Villeneuve-d'Ascq,NORD,HAUTS DE FRANCE,5039.609237,148.0631502,135.2156272,155.1596207
Tours,INDRE ET LOIRE,CENTRE VAL DE LOIRE,2608.073835,152.7171891,134.3671592,155.1531473
San-Gavino-di-Fiumorbo,HAUTE CORSE,CORSE,135,151.5506506,148.0025574,155.1136662
Niort,DEUX SEVRES,NOUVELLE AQUITAINE,1892.284652,170.4392591,157.3661199,155.0886887
Alençon,ORNE,NORMANDIE,899.3057863,159.690422,144.7187846,155.0430586
La Roche-sur-Yon,VENDEE,PAYS DE LA LOIRE,2675.127814,168.2032245,146.2750071,154.9203539
Reims,MARNE,GRAND EST,519.5790871,151.2391709,140.3420901,154.8852795
Saumur,MAINE ET LOIRE,PAYS DE LA LOIRE,2515.704066,153.9316204,140.3960406,154.4920566
Troyes,AUBE,GRAND EST,1752.769344,143.0538757,125.7594685,154.3574909
Rennes,ILLE ET VILAINE,BRETAGNE,1873.326133,155.2692484,145.2577045,154.268236
Mirbel,HAUTE MARNE,GRAND EST,42,154.0443363,193.9042928,154.1794199
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,4050.902905,151.8397191,123.5398462,154.1233386
Bourg-en-Bresse,AIN,AUVERGNE RHONE ALPES,1936.509023,168.438372,142.0174027,153.9585891
La Rochelle,CHARENTE MARITIME,NOUVELLE AQUITAINE,1729.648084,155.8882923,142.2609092,153.8362006
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,549.8158148,149.9623564,124.8776268,153.7830092
Rennes,ILLE ET VILAINE,BRETAGNE,2613.166524,149.6751889,137.4845327,153.758722
La Roche-sur-Yon,VENDEE,PAYS DE LA LOIRE,379.9546306,168.7740738,145.6347082,153.7403572
Roanne,LOIRE,AUVERGNE RHONE ALPES,1905.359732,151.8169234,147.9167685,153.7314131
La Rochelle,CHARENTE MARITIME,NOUVELLE AQUITAINE,2781.909219,159.267028,138.3545141,153.7190026
Meyzieu,RHONE,AUVERGNE RHONE ALPES,88.70427021,143.8930819,139.753814,153.6991142
Bordeaux,GIRONDE,NOUVELLE AQUITAINE,2787.106709,142.3642706,124.3193083,153.6809419
Paris 18e Arrondissement,PARIS,ILE DE FRANCE,2242.063853,154.1500369,148.0826907,153.5810531
Brest,FINISTERE,BRETAGNE,2537.117791,151.4823808,132.3645535,153.5646314
Tours,INDRE ET LOIRE,CENTRE VAL DE LOIRE,2052.521436,150.1874419,131.2038375,153.4913485
Ribeauville,AISNE,HAUTS DE FRANCE,66,156.7649167,179.1045198,153.4495795
Troyes,AUBE,GRAND EST,2377.90113,143.9804296,123.7732466,153.4129624
Lille,NORD,HAUTS DE FRANCE,2875.592351,146.6352687,135.1624725,153.3416372
Vieuzos,HAUTES PYRENEES,OCCITANIE,46,149.9763788,149.8072257,153.3198097
Vandoeuvre-lès-Nancy,MEURTHE ET MOSELLE,GRAND EST,1710.602733,144.5558532,124.6118128,153.3145571
Castres,TARN,OCCITANIE,2628.735999,162.9036612,149.5778622,153.1412947
La Baule-Escoublac,LOIRE ATLANTIQUE,PAYS DE LA LOIRE,1853.809212,158.6025476,141.2047622,153.0968633
Strasbourg,BAS RHIN,GRAND EST,3528.473512,153.7107053,134.0053752,153.0407733
Callen,LANDES,NOUVELLE AQUITAINE,146,160.2781048,164.5814736,153.0356137
Niort,DEUX SEVRES,NOUVELLE AQUITAINE,1825.761612,169.2249875,155.551892,152.9834615
Nevers,NIEVRE,BOURGOGNE FRANCHE COMTE,1418.213455,149.9324707,140.1227169,152.8698611
Sotzeling,MOSELLE,GRAND EST,21,152.5874962,169.1570719,152.7852939
Lille,NORD,HAUTS DE FRANCE,2211.993176,147.4302224,138.6780228,152.6593865
Poitiers,VIENNE,NOUVELLE AQUITAINE,2494.724058,152.816693,136.2166579,152.5918703
Nogent-en-Othe,AUBE,GRAND EST,46,138.497226,146.6369633,152.4951569
Autun,SAONE ET LOIRE,BOURGOGNE FRANCHE COMTE,57.27513202,154.473181,147.5292531,152.4879191
Neuilly-sur-Marne,SEINE SAINT DENIS,ILE DE FRANCE,328.7517262,149.2183748,146.2415388,152.430288
Brive-la-Gaillarde,CORREZE,NOUVELLE AQUITAINE,1715.276126,157.1571291,155.1068823,152.2818844
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,2021.122222,150.1486337,123.0296461,152.2523348
Lempdes,PUY DE DOME,AUVERGNE RHONE ALPES,433.0563651,149.7871411,129.4432091,152.1586057
Neuvelle-lès-Voisey,HAUTE MARNE,GRAND EST,74,149.4974217,157.7482508,152.0572175
Toulouse,HAUTE GARONNE,OCCITANIE,1166.120748,160.3772585,155.0976666,152.0541017
Le Havre,SEINE MARITIME,NORMANDIE,2137.904383,145.9706856,133.2818197,151.8910664
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,1893.606593,151.4581725,128.4554751,151.8667427
Périgueux,DORDOGNE,NOUVELLE AQUITAINE,2019.705108,162.5398812,142.922188,151.8266409
Caen,CALVADOS,NORMANDIE,2516.413507,150.8748421,132.1162696,151.7679423
Quimper,FINISTERE,BRETAGNE,1240.276062,149.0872986,137.9712168,151.5362193
Nantes,LOIRE ATLANTIQUE,PAYS DE LA LOIRE,5208.692976,150.4813669,140.0791642,151.4429287
Montcharvot,HAUTE MARNE,GRAND EST,34,147.7713323,153.2035029,151.2868542
Caen,CALVADOS,NORMANDIE,2538.940114,150.6963597,136.0443834,151.2732255
Auxerre,YONNE,BOURGOGNE FRANCHE COMTE,397.7169245,147.9136115,139.7089508,151.2548106
Rennes,ILLE ET VILAINE,BRETAGNE,3823.956032,141.3938379,120.7558716,151.2156624
Brest,FINISTERE,BRETAGNE,2028.612975,149.0697527,134.5352768,151.1349934
Paris 16e Arrondissement,PARIS,ILE DE FRANCE,174.1484156,142.8170468,146.5348692,151.1001129
Vierzon,CHER,CENTRE VAL DE LOIRE,2478.032425,148.3040469,133.3733576,151.0838093
Olivet,LOIRET,CENTRE VAL DE LOIRE,2242.05406,148.3800746,133.5712321,151.05613
Rouen,SEINE MARITIME,NORMANDIE,2680.571046,145.2611674,132.6588063,151.0463422
Caen,CALVADOS,NORMANDIE,2839.70656,150.0538223,132.284906,151.0379286
Cusset,ALLIER,AUVERGNE RHONE ALPES,2298.895253,142.3896819,132.9579458,151.0113913
Notre-Dame-de-Bondeville,SEINE MARITIME,NORMANDIE,2.012816448,157.6800277,164.5205275,150.9249797
Lorient,MORBIHAN,BRETAGNE,547.9436548,154.4276132,140.2048931,150.8266951
Limoges,HAUTE VIENNE,NOUVELLE AQUITAINE,1541.944524,144.3178547,137.7944156,150.8108377
Soyaux,CHARENTE,NOUVELLE AQUITAINE,2104.807298,151.2511541,131.4615083,150.8024734
Rennes,ILLE ET VILAINE,BRETAGNE,2862.960278,146.5567762,132.7702078,150.7063079
Montpellier,HERAULT,OCCITANIE,5678.867867,140.4886295,119.415249,150.5659357
Bergerac,DORDOGNE,NOUVELLE AQUITAINE,2537.203416,153.425509,147.0224658,150.5375708
Elbeuf,SEINE MARITIME,NORMANDIE,1146.99384,146.80132,137.0945086,150.5083799
Nancy,MEURTHE ET MOSELLE,GRAND EST,1824.950621,143.9926028,128.6663841,150.497422
Le Mans,SARTHE,PAYS DE LA LOIRE,2489.903211,146.9834609,124.6798577,150.4550609
Lisieux,CALVADOS,NORMANDIE,1896.498711,149.4724465,137.451268,150.319785
Niort,DEUX SEVRES,NOUVELLE AQUITAINE,1893.315858,164.3633779,153.2448712,150.3135768
Roanne,LOIRE,AUVERGNE RHONE ALPES,1644.251495,148.1942097,143.2255548,150.2885121
Montbrison,LOIRE,AUVERGNE RHONE ALPES,1800.512945,150.3747912,172.9118027,150.2759444
Laval,MAYENNE,PAYS DE LA LOIRE,2160.044032,155.0696464,143.4041783,150.2610174
Saint-Jean-du-Bouzet,TARN ET GARONNE,OCCITANIE,53,158.4317528,150.7548429,150.1999585
Troyes,AUBE,GRAND EST,2005.161253,141.9516108,122.8849766,150.1728178
Sedan,ARDENNES,GRAND EST,746.6389997,148.5919765,138.8779274,150.0747257
Paris 18e Arrondissement,PARIS,ILE DE FRANCE,2127.750865,151.0511121,144.6243404,150.0591604
Le Creusot,SAONE ET LOIRE,BOURGOGNE FRANCHE COMTE,282.338121,158.4494651,153.3382697,150.0393074
Lyon 8e Arrondissement,RHONE,AUVERGNE RHONE ALPES,3696.747823,141.4249026,135.4285591,150.0323663
Vichy,ALLIER,AUVERGNE RHONE ALPES,1859.104777,140.4269288,131.476734,149.9197384
Julvécourt,MEUSE,GRAND EST,60,150.7894132,188.8729404,149.8784365
Vannes,MORBIHAN,BRETAGNE,1426.730921,151.7215118,145.3352625,149.7571079
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,2523.138062,148.2799856,126.4843297,149.6494276
Châteauroux,INDRE,CENTRE VAL DE LOIRE,1608.261064,146.8667335,137.0450884,149.6418773
Pessac,GIRONDE,NOUVELLE AQUITAINE,2903.216475,138.144977,120.633307,149.5034763
Tours,INDRE ET LOIRE,CENTRE VAL DE LOIRE,3764.482934,143.625817,125.7616929,149.4813687
Fougères,ILLE ET VILAINE,BRETAGNE,2356.46474,154.1281345,148.7489709,149.466707
Tours,INDRE ET LOIRE,CENTRE VAL DE LOIRE,2993.555256,146.829536,130.501715,149.4087801
Pau,PYRENEES ATLANTIQUES,NOUVELLE AQUITAINE,2625.153711,147.7830731,128.3456367,149.3562027
Amiens,SOMME,HAUTS DE FRANCE,3743.416682,147.0678749,122.7822441,149.2773885
Annonay,ARDECHE,AUVERGNE RHONE ALPES,2296.545442,152.2605988,146.1700999,149.208131
Toulouse,HAUTE GARONNE,OCCITANIE,6506.27521,137.8300852,123.2021901,149.1265223
Le Clat,AUDE,OCCITANIE,33,139.9494744,128.1602784,149.1146517
Carcassonne,AUDE,OCCITANIE,1621.996777,153.3108286,149.0251221,149.0668481
Angers,MAINE ET LOIRE,PAYS DE LA LOIRE,2899.801074,147.9891952,124.9754087,149.0242177
Le Havre,SEINE MARITIME,NORMANDIE,2090.855743,143.1903736,131.226941,149.0065767
Nevers,NIEVRE,BOURGOGNE FRANCHE COMTE,1209.690934,145.0136403,137.1801956,148.9098699
Saint-Étienne-du-Rouvray,SEINE MARITIME,NORMANDIE,627.1131011,141.5323757,126.9516734,148.8337491
Aubenas,ARDECHE,AUVERGNE RHONE ALPES,2052.213696,149.1837097,129.0692442,148.7911095
Talence,GIRONDE,NOUVELLE AQUITAINE,2901.742622,143.3111916,131.939905,148.7397992
Laval,MAYENNE,PAYS DE LA LOIRE,1510.980418,156.2529697,141.146126,148.7150908
Trouville-sur-Mer,CALVADOS,NORMANDIE,1533.69668,147.7913842,123.1204422,148.6935593
Troyes,AUBE,GRAND EST,1799.878015,138.8104881,120.9306628,148.6862624
Tressandans,DOUBS,BOURGOGNE FRANCHE COMTE,24,152.0100418,150.0558643,148.6518124
Montpellier,HERAULT,OCCITANIE,3887.667912,138.85809,118.8629964,148.5879958
Limoges,HAUTE VIENNE,NOUVELLE AQUITAINE,2190.198376,142.3916602,128.578439,148.5418502
Poitiers,VIENNE,NOUVELLE AQUITAINE,2690.247295,142.314576,117.2195528,148.5362053
Le Puy-en-Velay,HAUTE LOIRE,AUVERGNE RHONE ALPES,3801.819712,162.4984099,145.9398087,148.5321575
Elbeuf,SEINE MARITIME,NORMANDIE,1946.433791,142.1780013,128.8207622,148.5217744
Lételon,ALLIER,AUVERGNE RHONE ALPES,113,142.5589236,160.1836166,148.4998782
Paris 13e Arrondissement,PARIS,ILE DE FRANCE,2255.460827,147.2296071,142.7795292,148.4529715
Narbonne,AUDE,OCCITANIE,1852.896362,151.6044436,148.731803,148.4396801
La Maison-Dieu,NIEVRE,BOURGOGNE FRANCHE COMTE,123,142.7878601,148.1110319,148.4200439
Bourges,CHER,CENTRE VAL DE LOIRE,1106.882784,145.9575227,136.999839,148.412479
Le Puy-en-Velay,HAUTE LOIRE,AUVERGNE RHONE ALPES,2168.780412,155.6898003,143.2351855,148.3912826
Jouy-en-Josas,YVELINES,ILE DE FRANCE,1743.369537,163.6671487,148.8042748,148.2379162
Lisieux,CALVADOS,NORMANDIE,1952.613684,146.6551522,136.4078099,148.1458016
Dijon,COTE D'OR,BOURGOGNE FRANCHE COMTE,3752.340249,142.2188069,125.7174928,148.0120371
Concarneau,FINISTERE,BRETAGNE,2196.346075,145.009459,141.3207726,147.9425548
Guingamp,COTES D ARMOR,BRETAGNE,1867.524248,151.0241224,127.3000302,147.9354492
Le Mans,SARTHE,PAYS DE LA LOIRE,63.9080057,141.8790424,109.7678255,147.9200317
Guingamp,COTES D ARMOR,BRETAGNE,1726.897995,149.8112686,128.7486127,147.8991934
Rouen,SEINE MARITIME,NORMANDIE,1729.266331,141.9439911,130.3980486,147.895273
Saint-Malo,ILLE ET VILAINE,BRETAGNE,2320.632399,149.8259197,135.8849488,147.8754836
Royan,CHARENTE MARITIME,NOUVELLE AQUITAINE,187.8617057,150.5202624,160.0632314,147.8265015
Poitiers,VIENNE,NOUVELLE AQUITAINE,1616.065768,147.5251435,132.1959685,147.7289929
Saint-Brieuc,COTES D ARMOR,BRETAGNE,1644.519652,150.964824,134.734284,147.7181434
Saint-Brieuc,COTES D ARMOR,BRETAGNE,1850.648311,149.8193418,137.9780985,147.7166829
L'Aigle,ORNE,NORMANDIE,1264.441046,149.5841499,137.8376046,147.6883274
Allonnes,SARTHE,PAYS DE LA LOIRE,1522.317094,140.4732927,120.5791508,147.6608882
Nancy,MEURTHE ET MOSELLE,GRAND EST,3090.616618,139.7695132,121.6399751,147.612088
Saint-Nazaire,LOIRE ATLANTIQUE,PAYS DE LA LOIRE,2599.603646,146.6954985,132.4300975,147.5659349
Nice,ALPES MARITIMES,PROVENCE ALPES COTE D'AZUR,85.28920222,144.4464382,140.1770598,147.520052
Guingamp,COTES D ARMOR,BRETAGNE,1313.2128,151.0800334,126.6804779,147.4678325
Châtellerault,VIENNE,NOUVELLE AQUITAINE,1729.519404,147.5027844,140.0287497,147.4668984
Saint-Herblain,LOIRE ATLANTIQUE,PAYS DE LA LOIRE,1548.156237,145.1723368,133.9191231,147.3763215
